frame_id,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,posture,action
61,7,615,17,945,199,side lying,normal
61,8,1114,310,1198,543,prone lying,normal
62,1,513,412,882,558,standing,normal
62,2,935,291,1166,427,prone lying,normal
62,3,934,391,1146,562,side lying,normal
62,4,904,507,1111,627,side lying,normal
62,5,1001,170,1183,253,standing,diet
62,6,742,518,999,661,side lying,normal
62,7,615,17,945,199,side lying,normal
62,8,1114,310,1198,543,prone lying,normal
63,1,510,411,881,559,standing,normal
63,2,935,291,1166,427,prone lying,normal
63,3,934,391,1146,562,side lying,normal
63,4,904,507,1111,627,side lying,normal
63,5,1000,170,1184,253,standing,diet
63,6,742,518,999,661,side lying,normal
63,7,615,17,945,199,side lying,normal
63,8,1114,310,1198,543,prone lying,normal
64,1,507,410,882,560,standing,normal
64,2,935,291,1166,427,prone lying,normal
64,3,934,391,1146,562,side lying,normal
64,4,904,507,1111,627,side lying,normal
64,5,1000,170,1183,253,standing,diet
64,6,742,519,999,661,side lying,normal
64,7,615,17,945,199,side lying,normal
64,8,1114,310,1199,543,prone lying,normal
65,1,503,408,885,560,standing,normal
65,2,934,290,1167,428,prone lying,normal
65,3,934,391,1146,562,side lying,normal
65,4,904,507,1111,627,side lying,normal
65,5,1000,170,1184,253,standing,diet
65,6,742,519,999,661,side lying,normal
65,7,615,17,945,199,side lying,normal
65,8,1114,310,1199,543,prone lying,normal
66,1,500,407,883,560,standing,normal
66,2,934,290,1167,428,prone lying,normal
66,3,935,392,1145,562,side lying,normal
66,4,904,507,1111,627,side lying,normal
66,5,1000,170,1184,253,standing,diet
66,6,742,519,999,661,side lying,normal
66,7,615,17,945,199,side lying,normal
66,8,1114,310,1199,543,prone lying,normal
67,1,500,407,882,560,standing,normal
67,2,934,289,1167,428,prone lying,normal
67,3,935,392,1145,562,side lying,normal
67,4,904,507,1111,627,side lying,normal
67,5,1000,169,1184,253,standing,diet
67,6,742,519,999,661,side lying,normal
67,7,615,17,945,199,side lying,normal
67,8,1114,310,1199,543,prone lying,normal
